,PC1,PC2
0,510.6808541670501,463.64356283161493
1,225.4343891553153,-458.8643926029982
2,866.4307489966409,-819.4776956044307
3,512.4469011262116,777.233806810189
4,1426.0509272485003,-73.9837259296216
5,643.0903793058993,66.84158355257371
6,508.2112288567759,1348.1079465329137
7,153.2351989656256,268.57824491095715
8,100.95931920685271,180.46581389011766
9,845.7580312985399,-62.49321483668174
10,907.700717629032,-200.12243829368094
11,468.06551227299303,-647.9709938047254
12,662.5844636474499,-3.3972629789526687
13,441.48647157959493,-195.0309872692383
14,568.1451331767305,-69.62562813841996
15,314.7016182304396,-501.756261701472
16,618.2124521064861,-255.007132116752
17,202.23642353178948,269.55377861406737
18,302.11053435442295,-544.1782236178018
19,552.1570055977332,-450.59974771193487
20,-927.3105313161929,-610.6095415182389
21,-642.5491555841609,-289.4021485889285
22,-928.0290917044098,-275.4486085077937
23,-408.4545180907015,490.3983808643772
24,-421.32582129112797,474.18150459387715
25,-415.1783311842808,-173.365562263187
26,-148.7295460976965,-513.4896520608822
27,-400.108262995111,796.4373753924604
28,-95.93432867568586,430.5485480419419
29,-544.2866457568912,36.563283030322765
30,-343.4694779345829,273.8921369466735
31,-938.9783271948742,-398.11753473101993
32,-740.3138930554234,-226.5717336735345
33,-360.69132144534007,33.38793539650642
34,-137.1633498392339,886.8891111869201
35,-543.7168004505646,-317.0512128542712
36,-747.6262509326999,-34.68565146327197
37,-298.5217119277962,396.5416937626819
38,-835.9515106622897,-17.94100839296391
39,-951.3594343150244,-54.074347697395076
