,PC1,PC2
0,26.540175172290276,571.172383653801
1,139.85980554027398,98.20359682922007
2,834.5791294922689,-302.8043998991139
3,80.14621785463248,359.8279789071089
4,1419.7913741012615,-435.8588120769042
5,548.3188096352717,-587.6053925214756
6,130.21340855078014,323.2317033773866
7,-19.745645000383693,-81.2537767991584
8,-327.9527999480908,-216.53625694843043
9,608.2556905582113,-639.9829566476311
10,508.6060620599208,-7.975680656217246
11,378.57274716033487,288.1891020245575
12,212.13067926546958,-8.040410322874324
13,299.04929656160914,526.8151361121436
14,332.2565331137728,585.4117152155426
15,258.95592733117866,217.16415792985362
16,606.2857699165738,522.1473525230871
17,-26.76293235316073,121.55836606559566
18,477.5568395126063,-329.8226794443876
19,530.217313552435,551.4708508022389
20,-554.6572751738034,372.5692730000859
21,-288.2871078681343,252.13662622261668
22,-621.5564784053021,191.1396805540452
23,-332.8812636190635,-42.53130736463385
24,-448.55721363764656,-245.00000044939867
25,-355.80136604780694,-68.74502832310063
26,148.04065920535803,413.46013369282036
27,-341.68721766160627,-455.98820112492774
28,-88.45979821756859,-543.680889500731
29,-321.82823176399614,56.18103225732465
30,-245.22752859423647,-266.65596691743445
31,-604.5459837103874,-13.035460575466091
32,-521.6847822939923,208.83653820113798
33,-173.11205289006372,-500.4936939958239
34,-252.4417087714697,-166.36816543786995
35,-61.5077000707061,-308.8632553432356
36,-529.6785166837067,-198.5120240153097
37,-125.3772955898053,144.99499530768378
38,-594.9622487757616,-148.06636507358414
39,-702.6612915075553,-236.68989923854227
